 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s3h1_Merged.tif_rotated.tif:0001-0244,741,24.991,8.276,199.419,244.179,199.673,244.473,185,226,31,36,0.686,18518.000,18518.000,1.835,0.545,0.897
2,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s3h1_Merged.tif_rotated.tif:0002-0265,415,20.446,6.769,13.136,266.314,12.893,266.417,3,251,20,29,0.738,8485.000,8485.000,1.588,0.630,0.899
3,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s3h1_Merged.tif_rotated.tif:0003-0279,671,33.714,17.295,502.397,278.741,502.665,279.059,485,264,33,31,0.794,22622.000,22622.000,1.213,0.825,0.920
4,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s3h1_Merged.tif_rotated.tif:0004-0276,361,21.407,6.428,170.251,276.270,170.292,276.461,158,266,24,20,0.900,7728.000,7728.000,1.216,0.822,0.936
5,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s3h1_Merged.tif_rotated.tif:0005-0311,779,61.596,43.495,407.418,311.779,408.880,312.482,388,289,36,44,0.493,47983.000,47983.000,1.457,0.686,0.771
6,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s3h1_Merged.tif_rotated.tif:0006-0301,336,33.548,10.014,656.997,302.318,656.889,303.055,647,289,20,25,0.826,11272.000,11272.000,1.347,0.742,0.919
7,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s3h1_Merged.tif_rotated.tif:0009-0314,504,34.815,15.315,1159.393,315.071,1159.611,315.192,1146,301,26,27,0.878,17547.000,17547.000,1.447,0.691,0.950
8,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s3h1_Merged.tif_rotated.tif:0011-0317,394,44.294,24.688,633.949,317.112,634.538,317.531,622,305,23,24,0.931,17452.000,17452.000,1.246,0.802,0.947
9,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s3h1_Merged.tif_rotated.tif:0013-0332,601,27.717,7.843,804.397,331.991,804.332,332.295,793,314,23,36,0.718,16658.000,16658.000,1.659,0.603,0.906
10,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s3h1_Merged.tif_rotated.tif:0014-0334,425,49.882,21.851,668.041,333.119,668.140,332.933,655,321,26,27,0.830,21200.000,21200.000,1.212,0.825,0.905
11,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s3h1_Merged.tif_rotated.tif:0015-0338,635,58.343,34.009,84.620,338.498,84.854,338.193,72,323,25,31,0.797,37048.000,37048.000,1.328,0.753,0.932
