 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543334_WT_P50_NR_M_s3h1_Merged.tif_rotated.tif:0001-0357,434,27.677,7.354,663.191,356.726,663.237,356.964,650,347,27,21,0.914,12012.000,12012.000,1.279,0.782,0.957
2,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543334_WT_P50_NR_M_s3h1_Merged.tif_rotated.tif:0002-0408,399,37.604,12.261,439.535,407.307,439.574,407.569,429,396,22,24,0.891,15004.000,15004.000,1.166,0.858,0.939
3,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543334_WT_P50_NR_M_s3h1_Merged.tif_rotated.tif:0003-0424,438,29.356,8.734,212.861,423.628,212.994,423.678,202,410,22,29,0.836,12858.000,12858.000,1.325,0.755,0.926
4,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543334_WT_P50_NR_M_s3h1_Merged.tif_rotated.tif:0004-0423,340,32.424,12.013,244.338,424.856,244.296,425.126,234,412,21,23,0.891,11024.000,11024.000,1.183,0.845,0.937
5,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543334_WT_P50_NR_M_s3h1_Merged.tif_rotated.tif:0005-0428,404,35.723,7.927,466.918,428.300,466.820,428.622,457,415,21,26,0.896,14432.000,14432.000,1.280,0.781,0.943
6,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543334_WT_P50_NR_M_s3h1_Merged.tif_rotated.tif:0006-0430,484,48.207,22.834,534.624,430.694,534.660,431.323,522,415,23,30,0.667,23332.000,23332.000,1.428,0.700,0.834
7,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543334_WT_P50_NR_M_s3h1_Merged.tif_rotated.tif:0007-0431,372,28.239,6.820,90.054,432.277,89.839,432.749,82,417,17,29,0.772,10505.000,10505.000,1.736,0.576,0.912
8,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543334_WT_P50_NR_M_s3h1_Merged.tif_rotated.tif:0008-0438,306,57.876,31.228,612.654,438.588,612.478,438.807,602,429,21,19,0.917,17710.000,17710.000,1.082,0.924,0.939
9,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543334_WT_P50_NR_M_s3h1_Merged.tif_rotated.tif:0009-0447,521,43.489,23.267,62.156,448.632,62.473,448.929,48,434,30,27,0.754,22658.000,22658.000,1.570,0.637,0.896
10,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543334_WT_P50_NR_M_s3h1_Merged.tif_rotated.tif:0012-0451,290,41.438,15.562,250.093,450.455,249.746,450.547,241,441,18,20,0.950,12017.000,12017.000,1.137,0.879,0.952
11,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543334_WT_P50_NR_M_s3h1_Merged.tif_rotated.tif:0013-0456,520,41.381,16.331,316.390,456.379,316.568,456.325,303,443,27,26,0.882,21518.000,21518.000,1.237,0.808,0.939
