 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s4h1_Merged.tif_rotated.tif:0001-0213,748,25.513,11.129,137.400,211.561,138.406,213.056,124,194,27,39,0.829,19084.000,19084.000,1.377,0.726,0.939
2,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s4h1_Merged.tif_rotated.tif:0002-0273,578,28.699,12.700,268.834,273.412,266.839,273.389,252,259,30,28,0.706,16588.000,16588.000,1.140,0.877,0.881
3,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s4h1_Merged.tif_rotated.tif:0003-0296,567,52.131,33.676,881.310,295.262,881.566,295.339,865,281,29,30,0.838,29558.000,29558.000,1.248,0.801,0.923
4,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s4h1_Merged.tif_rotated.tif:0004-0302,403,70.012,43.908,406.202,302.210,406.589,303.028,394,289,24,26,0.838,28215.000,28215.000,1.208,0.828,0.910
5,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s4h1_Merged.tif_rotated.tif:0005-0318,313,87.457,55.958,363.369,319.778,365.369,320.892,351,308,25,20,0.733,27374.000,27374.000,1.454,0.688,0.869
6,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s4h1_Merged.tif_rotated.tif:0006-0329,578,47.882,21.330,526.375,330.154,526.232,330.561,514,312,25,34,0.822,27676.000,27676.000,1.636,0.611,0.943
7,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s4h1_Merged.tif_rotated.tif:0007-0326,534,44.730,27.338,1042.751,325.981,1043.464,325.448,1029,313,30,26,0.833,23886.000,23886.000,1.188,0.842,0.934
8,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s4h1_Merged.tif_rotated.tif:0008-0322,103,74.466,28.068,138.617,321.675,137.944,321.858,133,316,11,12,0.923,7670.000,7670.000,1.179,0.848,0.916
9,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s4h1_Merged.tif_rotated.tif:0009-0357,996,53.922,37.104,370.578,356.546,371.589,359.123,352,335,36,45,0.574,53706.000,53706.000,1.797,0.557,0.849
10,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s4h1_Merged.tif_rotated.tif:0012-0365,700,43.733,20.854,638.603,366.397,638.993,366.309,627,347,27,36,0.796,30613.000,30613.000,1.318,0.759,0.936
