 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s1h1_Merged.tif_rotated.tif:0001-0313,582,24.278,5.932,850.074,313.447,849.929,313.602,836,299,32,29,0.576,14130.000,14130.000,1.450,0.690,0.841
2,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s1h1_Merged.tif_rotated.tif:0004-0341,462,36.697,16.133,991.500,341.396,990.789,341.845,980,327,22,28,0.919,16954.000,16954.000,1.276,0.784,0.950
3,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s1h1_Merged.tif_rotated.tif:0005-0358,435,25.554,7.607,582.725,357.321,582.733,357.370,569,346,26,24,0.842,11116.000,11116.000,1.195,0.837,0.928
4,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s1h1_Merged.tif_rotated.tif:0007-0374,481,50.715,28.031,968.583,373.984,968.237,373.771,955,361,28,27,0.709,24394.000,24394.000,1.363,0.733,0.857
5,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s1h1_Merged.tif_rotated.tif:0009-0382,632,45.127,26.128,447.829,384.084,448.268,384.793,433,364,30,36,0.644,28520.000,28520.000,1.600,0.625,0.846
6,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s1h1_Merged.tif_rotated.tif:0010-0390,439,32.244,11.663,671.678,390.286,671.703,390.362,659,379,25,23,0.938,14155.000,14155.000,1.048,0.954,0.949
7,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s1h1_Merged.tif_rotated.tif:0011-0392,374,41.896,12.636,1017.273,392.642,1017.307,392.893,1008,380,20,24,0.917,15669.000,15669.000,1.258,0.795,0.953
8,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s1h1_Merged.tif_rotated.tif:0013-0402,427,36.246,16.474,722.025,401.945,721.939,402.001,711,389,23,26,0.921,15477.000,15477.000,1.205,0.830,0.946
9,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s1h1_Merged.tif_rotated.tif:0014-0405,439,72.790,51.544,1058.293,405.837,1058.205,406.073,1047,393,23,25,0.938,31955.000,31955.000,1.032,0.969,0.950
10,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s1h1_Merged.tif_rotated.tif:0015-0411,500,47.242,23.846,810.056,412.616,810.049,412.753,799,396,22,31,0.848,23621.000,23621.000,1.503,0.665,0.933
