 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0002-0355,279,38.151,20.964,457.002,356.608,457.011,356.400,448,344,18,23,0.800,10644.000,10644.000,1.352,0.740,0.896
2,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0003-0360,465,39.219,24.788,177.934,360.577,178.858,360.215,164,348,26,25,0.817,18237.000,18237.000,1.075,0.930,0.914
3,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0004-0384,631,37.792,20.041,321.112,384.643,321.277,385.261,302,368,33,32,0.700,23847.000,23847.000,1.039,0.962,0.861
4,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0005-0416,527,39.380,20.826,173.694,416.413,174.035,416.606,163,399,23,34,0.807,20753.000,20753.000,1.590,0.629,0.927
5,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0006-0424,906,37.188,17.050,230.030,423.956,229.408,424.271,210,405,40,38,0.563,33692.000,33692.000,1.761,0.568,0.844
6,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0007-0437,921,42.940,23.999,746.460,435.939,746.877,437.409,730,410,31,54,0.417,39548.000,39548.000,2.291,0.437,0.755
7,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0008-0427,606,45.837,28.354,396.998,426.975,396.775,427.199,382,413,32,29,0.822,27777.000,27777.000,1.145,0.873,0.915
8,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0009-0436,764,46.363,31.753,281.920,437.623,282.315,437.866,263,419,37,35,0.519,35421.000,35421.000,1.649,0.606,0.830
9,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0010-0437,506,34.085,19.464,341.008,439.142,340.969,439.985,330,421,22,33,0.773,17247.000,17247.000,1.572,0.636,0.923
10,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0011-0438,400,45.150,36.180,69.005,438.595,67.616,439.828,59,426,20,25,0.913,18060.000,18060.000,1.270,0.788,0.952
11,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0012-0446,659,34.108,10.437,911.312,446.590,911.150,446.968,898,427,26,39,0.731,22477.000,22477.000,1.805,0.554,0.892
12,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0014-0446,398,48.146,30.153,319.146,447.322,319.964,448.536,308,434,22,25,0.813,19162.000,19162.000,1.368,0.731,0.911
13,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0015-0462,506,40.575,29.532,505.016,463.595,504.669,464.159,492,446,25,33,0.738,20531.000,20531.000,1.475,0.678,0.869
14,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0016-0459,410,34.680,19.474,1172.295,459.551,1171.892,459.254,1161,447,22,25,0.910,14219.000,14219.000,1.138,0.879,0.939
15,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0017-0468,826,45.367,27.290,246.508,466.679,245.528,466.336,230,448,30,41,0.770,37473.000,37473.000,1.593,0.628,0.927
16,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0018-0474,547,43.020,23.154,786.752,473.197,785.814,473.211,773,461,28,26,0.832,23532.000,23532.000,1.202,0.832,0.927
17,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0019-0480,526,32.705,17.039,704.316,480.835,704.435,480.987,691,464,25,32,0.816,17203.000,17203.000,1.442,0.694,0.929
18,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0021-0484,561,39.440,16.655,73.883,484.830,73.858,484.711,62,467,24,35,0.775,22126.000,22126.000,1.625,0.615,0.919
19,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0022-0491,663,47.228,33.010,1053.022,492.473,1053.041,493.016,1043,470,21,42,0.692,31312.000,31312.000,2.025,0.494,0.912
20,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0023-0492,606,40.921,30.320,143.371,491.211,143.307,491.129,130,476,26,32,0.900,24798.000,24798.000,1.239,0.807,0.950
21,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0024-0489,600,46.165,28.013,195.842,490.197,196.161,490.815,181,476,32,26,0.833,27699.000,27699.000,1.274,0.785,0.929
22,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0025-0500,610,47.813,32.586,459.459,499.633,459.005,498.930,444,485,29,31,0.746,29166.000,29166.000,1.037,0.964,0.899
23,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0026-0506,1127,53.531,43.271,925.294,507.046,925.894,505.842,899,489,48,35,0.465,60329.000,60329.000,1.527,0.655,0.832
24,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0027-0521,503,27.509,18.566,1114.582,522.293,1115.761,521.928,1103,502,22,39,0.602,13837.000,13837.000,2.069,0.483,0.838
25,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0028-0523,384,36.359,24.527,966.628,523.112,966.459,523.282,956,511,21,25,0.865,13962.000,13962.000,1.380,0.725,0.933
26,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0029-0526,424,49.406,39.583,1049.042,527.408,1048.121,527.068,1038,514,22,25,0.879,20948.000,20948.000,1.207,0.829,0.935
27,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0030-0528,286,46.420,36.373,783.108,528.150,782.774,529.152,773,519,20,19,0.929,13276.000,13276.000,1.183,0.845,0.935
28,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0031-0548,506,50.747,42.000,34.648,548.526,34.649,548.128,21,536,27,25,0.925,25678.000,25678.000,1.090,0.918,0.949
29,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0032-0550,258,37.868,21.511,111.589,550.419,110.223,550.889,102,541,18,19,0.902,9770.000,9770.000,1.326,0.754,0.940
30,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0033-0552,402,39.035,25.361,150.055,552.187,150.254,551.915,139,541,23,23,0.926,15692.000,15692.000,1.103,0.907,0.946
31,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0034-0559,436,33.720,19.016,777.534,559.094,777.244,559.234,764,548,26,22,0.904,14702.000,14702.000,1.339,0.747,0.945
32,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0035-0571,300,47.630,29.589,264.900,570.597,264.824,570.114,253,562,23,18,0.892,14289.000,14289.000,1.256,0.796,0.926
33,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0036-0578,486,72.374,63.018,761.428,576.537,762.593,576.428,746,565,29,26,0.849,35174.000,35174.000,1.499,0.667,0.935
34,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0038-0595,573,50.356,36.978,59.195,595.599,59.326,595.211,44,582,32,26,0.750,28854.000,28854.000,1.386,0.721,0.903
35,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0039-0596,646,41.523,23.489,516.299,596.924,515.866,596.877,499,584,39,25,0.768,26824.000,26824.000,1.583,0.632,0.911
36,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0041-0600,261,47.989,25.799,32.247,600.420,32.829,599.719,22,592,20,17,0.895,12525.000,12525.000,1.445,0.692,0.944
37,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged.tif_rotated.tif:0042-0608,578,45.912,28.418,188.758,606.213,188.881,604.631,172,593,31,30,0.654,26537.000,26537.000,1.480,0.676,0.878
