 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0002-0246,397,44.322,27.038,841.097,246.183,842.686,246.557,831,233,20,26,0.901,17596.000,17596.000,1.351,0.740,0.947
2,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0005-0285,433,32.423,14.806,254.886,285.844,255.297,286.087,243,273,24,25,0.866,14039.000,14039.000,1.134,0.882,0.934
3,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0007-0296,828,28.278,17.462,478.244,295.182,479.707,293.952,460,277,35,38,0.686,23414.000,23414.000,1.697,0.589,0.899
4,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0009-0320,520,32.969,22.960,427.575,320.706,427.962,319.985,415,307,27,26,0.842,17144.000,17144.000,1.086,0.920,0.931
5,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0012-0354,825,26.250,11.328,588.654,355.233,588.069,353.799,575,329,25,50,0.599,21656.000,21656.000,2.300,0.435,0.880
6,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0013-0344,361,26.801,13.053,383.683,344.600,384.113,344.579,373,332,21,25,0.859,9675.000,9675.000,1.165,0.858,0.917
7,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0014-0349,341,33.947,17.316,789.746,349.450,790.549,348.792,778,338,23,23,0.786,11576.000,11576.000,1.482,0.675,0.906
8,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0015-0360,668,46.377,32.633,1174.184,361.079,1175.567,362.332,1162,341,25,39,0.794,30980.000,30980.000,1.573,0.636,0.928
9,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0016-0359,621,33.496,21.281,819.442,358.136,819.240,357.793,807,342,27,34,0.843,20801.000,20801.000,1.443,0.693,0.939
10,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0017-0377,428,28.213,14.177,981.336,378.456,981.035,378.010,970,363,24,28,0.829,12075.000,12075.000,1.183,0.845,0.928
