 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s2h1_Merged.tif_rotated.tif:0002-0308,458,25.155,7.791,476.312,308.197,476.287,308.220,464,296,26,25,0.905,11521.000,11521.000,1.062,0.941,0.936
2,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s2h1_Merged.tif_rotated.tif:0003-0310,232,18.733,4.245,837.026,309.422,836.925,309.587,828,301,18,18,0.905,4346.000,4346.000,1.103,0.906,0.917
3,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s2h1_Merged.tif_rotated.tif:0004-0359,641,31.485,14.883,772.885,359.912,772.623,360.580,759,341,27,36,0.821,20182.000,20182.000,1.336,0.748,0.925
4,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s2h1_Merged.tif_rotated.tif:0006-0367,603,26.647,10.074,229.608,367.105,230.246,367.546,213,353,33,28,0.746,16068.000,16068.000,1.512,0.661,0.905
5,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s2h1_Merged.tif_rotated.tif:0007-0372,926,45.672,24.846,295.225,371.842,297.046,372.507,270,355,46,34,0.484,42292.000,42292.000,1.800,0.556,0.778
6,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s2h1_Merged.tif_rotated.tif:0008-0374,427,27.222,8.528,464.875,373.139,464.564,373.244,454,362,23,24,0.886,11624.000,11624.000,1.174,0.852,0.939
7,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s2h1_Merged.tif_rotated.tif:0009-0383,540,59.435,48.682,337.533,383.000,337.282,383.463,324,370,29,27,0.838,32095.000,32095.000,1.218,0.821,0.924
8,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s2h1_Merged.tif_rotated.tif:0010-0383,500,34.996,15.740,428.788,382.884,428.925,383.188,417,370,25,27,0.901,17498.000,17498.000,1.150,0.870,0.946
9,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s2h1_Merged.tif_rotated.tif:0011-0394,415,27.610,9.921,256.355,394.589,256.097,394.137,246,381,22,26,0.818,11458.000,11458.000,1.356,0.738,0.927
10,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s2h1_Merged.tif_rotated.tif:0012-0403,494,28.259,8.478,614.085,402.119,613.926,402.462,603,388,23,30,0.849,13960.000,13960.000,1.355,0.738,0.931
11,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s2h1_Merged.tif_rotated.tif:0014-0416,458,27.738,6.997,1150.041,416.978,1150.166,416.997,1138,404,24,25,0.890,12704.000,12704.000,1.316,0.760,0.937
12,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s2h1_Merged.tif_rotated.tif:0015-0420,303,32.393,10.235,535.295,420.536,535.420,420.784,526,409,18,23,0.869,9815.000,9815.000,1.324,0.755,0.927
13,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s2h1_Merged.tif_rotated.tif:0016-0419,330,39.224,14.101,569.400,419.679,569.269,419.791,557,410,23,19,0.940,12944.000,12944.000,1.191,0.840,0.950
14,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s2h1_Merged.tif_rotated.tif:0017-0425,576,32.486,16.254,182.108,423.753,182.621,424.056,163,412,33,26,0.724,18712.000,18712.000,1.335,0.749,0.882
15,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s2h1_Merged.tif_rotated.tif:0019-0432,447,18.658,5.420,31.589,430.891,31.571,431.164,18,421,27,22,0.856,8340.000,8340.000,1.196,0.836,0.931
16,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s2h1_Merged.tif_rotated.tif:0020-0434,310,34.874,12.354,358.761,433.790,358.633,433.978,348,424,20,21,0.939,10811.000,10811.000,1.224,0.817,0.944
17,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s2h1_Merged.tif_rotated.tif:0022-0447,706,57.681,36.053,747.190,448.146,747.363,449.632,735,425,23,44,0.661,40723.000,40723.000,2.150,0.465,0.883
18,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s2h1_Merged.tif_rotated.tif:0024-0451,788,62.570,43.347,444.567,452.494,444.581,452.728,428,431,36,40,0.436,49305.000,49305.000,1.513,0.661,0.826
19,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s2h1_Merged.tif_rotated.tif:0025-0451,487,26.918,7.826,1066.769,450.592,1066.795,450.778,1056,436,21,30,0.866,13109.000,13109.000,1.436,0.696,0.943
20,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s2h1_Merged.tif_rotated.tif:0026-0463,503,30.390,7.186,1010.546,462.782,1010.554,462.791,997,447,25,32,0.823,15286.000,15286.000,1.290,0.775,0.915
21,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s2h1_Merged.tif_rotated.tif:0027-0471,1336,68.115,41.987,574.896,468.212,574.825,467.990,548,450,57,43,0.434,91001.000,91001.000,1.335,0.749,0.809
22,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s2h1_Merged.tif_rotated.tif:0028-0459,305,30.885,10.897,702.264,459.638,702.306,459.940,692,450,21,19,0.965,9420.000,9420.000,1.125,0.889,0.950
23,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s2h1_Merged.tif_rotated.tif:0029-0482,449,45.376,13.025,498.075,482.139,497.838,481.816,487,469,23,27,0.787,20374.000,20374.000,1.269,0.788,0.912
