 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0001-0244,480,22.188,6.399,568.263,244.421,568.150,244.581,556,229,23,30,0.837,10650.000,10650.000,1.417,0.706,0.933
2,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0002-0246,592,22.285,6.546,485.797,246.221,485.231,246.097,473,231,26,31,0.857,13193.000,13193.000,1.460,0.685,0.945
3,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0003-0314,709,33.585,13.833,751.518,312.760,751.456,313.143,737,298,29,33,0.861,23812.000,23812.000,1.172,0.853,0.947
4,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0004-0310,224,22.812,5.851,193.580,310.549,193.531,310.609,186,300,16,21,0.709,5110.000,5110.000,1.711,0.584,0.836
5,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0005-0320,475,23.598,5.882,256.677,321.887,256.611,321.974,244,306,23,29,0.790,11209.000,11209.000,1.515,0.660,0.921
6,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0006-0322,669,29.709,9.958,691.920,321.333,692.448,321.208,677,306,31,33,0.729,19875.000,19875.000,1.199,0.834,0.883
7,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0007-0335,311,24.379,6.355,433.050,336.021,433.095,336.065,422,325,22,20,0.788,7582.000,7582.000,1.305,0.766,0.904
8,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0009-0363,494,36.457,10.859,713.747,363.016,714.080,363.188,702,350,24,26,0.927,18010.000,18010.000,1.145,0.874,0.950
9,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0010-0374,956,27.991,7.968,27.636,373.688,27.161,373.981,4,353,50,43,0.433,26759.000,26759.000,2.490,0.402,0.789
10,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0011-0376,671,44.511,19.381,563.654,376.013,563.330,376.237,552,356,25,41,0.736,29867.000,29867.000,1.764,0.567,0.912
11,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0012-0375,784,34.560,9.913,1021.017,375.394,1021.224,375.565,1003,358,33,34,0.828,27095.000,27095.000,1.113,0.899,0.939
12,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0013-0380,633,46.071,18.063,737.617,380.492,737.510,380.790,725,361,25,39,0.693,29163.000,29163.000,1.940,0.515,0.909
13,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0014-0396,1194,57.894,23.225,523.207,396.832,523.014,396.702,508,368,34,56,0.641,69126.000,69126.000,1.651,0.606,0.891
14,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0015-0385,458,32.046,11.810,1067.832,385.142,1067.872,385.209,1056,372,23,27,0.897,14677.000,14677.000,1.141,0.877,0.943
15,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0016-0395,550,33.018,7.675,319.949,393.924,319.957,394.112,305,380,30,30,0.611,18160.000,18160.000,1.241,0.806,0.865
16,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0017-0408,1035,46.501,14.983,950.336,406.516,950.104,406.917,937,381,27,54,0.631,48129.000,48129.000,2.360,0.424,0.879
17,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0018-0399,419,42.387,17.095,1170.636,399.748,1170.168,399.654,1160,385,22,29,0.816,17760.000,17760.000,1.521,0.657,0.905
18,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0019-0401,576,54.174,29.573,421.896,400.628,422.100,400.870,410,386,23,31,0.858,31204.000,31204.000,1.434,0.697,0.949
