 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s5h1_Merged.tif_rotated.tif:0002-0202,355,47.293,27.458,208.461,202.928,208.165,202.490,199,190,19,25,0.870,16789.000,16789.000,1.281,0.781,0.928
2,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s5h1_Merged.tif_rotated.tif:0004-0298,764,43.279,25.837,366.131,298.232,365.785,298.144,352,280,29,36,0.845,33065.000,33065.000,1.260,0.794,0.941
3,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s5h1_Merged.tif_rotated.tif:0005-0293,329,79.976,59.238,673.616,294.141,673.167,292.225,663,281,20,24,0.834,26312.000,26312.000,1.179,0.848,0.914
4,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s5h1_Merged.tif_rotated.tif:0006-0320,513,43.441,25.123,263.558,321.044,264.034,320.626,253,305,23,31,0.822,22285.000,22285.000,1.350,0.741,0.926
5,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s5h1_Merged.tif_rotated.tif:0008-0350,379,76.317,49.864,438.706,350.168,437.815,350.620,429,338,21,25,0.868,28924.000,28924.000,1.234,0.811,0.936
6,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s5h1_Merged.tif_rotated.tif:0009-0350,349,43.467,26.798,832.491,350.259,833.796,350.543,822,338,20,25,0.844,15170.000,15170.000,1.392,0.719,0.914
7,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s5h1_Merged.tif_rotated.tif:0010-0364,644,32.078,14.413,1122.655,364.474,1123.023,364.727,1109,343,28,42,0.579,20658.000,20658.000,2.682,0.373,0.821
8,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s5h1_Merged.tif_rotated.tif:0011-0366,600,42.742,31.707,801.910,366.533,802.574,368.426,787,350,28,32,0.756,25645.000,25645.000,1.244,0.804,0.903
9,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s5h1_Merged.tif_rotated.tif:0012-0368,603,42.670,28.750,862.231,367.795,862.424,368.141,850,351,24,34,0.841,25730.000,25730.000,1.434,0.697,0.936
10,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s5h1_Merged.tif_rotated.tif:0013-0370,731,40.379,24.507,132.161,370.671,130.136,370.848,115,356,38,29,0.751,29517.000,29517.000,1.341,0.746,0.900
11,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s5h1_Merged.tif_rotated.tif:0014-0382,620,49.444,31.539,454.931,381.077,454.931,380.008,442,363,26,38,0.772,30655.000,30655.000,1.523,0.657,0.916
